product_name,description,manufacturer
douself NEW Super Stable Flight RC Mini Quadcopter Toy M9912 X6 2.4G 4CH 6-axis Gyro LED Lights Sliver,Colour Name:Silver Feature: NEW Super Stable Flight RC Mini Spider Quadcopter Toy M9912 X6 2.4G 4CH 6-axis Gyro Latest 6-axis flight control system with adjustable gyro sensitivity Permits super stable flight Advanced 360 degree LED lights for night fly Lightweight airframe with nice durability 4-ways flip (left-right-forward-backward) USB charging cable allows to charge by computer. Flying both indoor and outdoor ability Specifications: Color: Green/Silver Optional Motor (x4): Coreless Motor Frequency: 2.4GHz Battery: 3.7V(build-in) Flight Time: around 3-5 minutes Charging Time: 40 minutes Transmitter: 2.4Ghz 4 channels Package size: 18 * 14 * 6cm / 7.2 * 5.6 * 2.4 in Package weight: 170g / 6 oz Note: Transmitter is Model 2 (Left hand throttle) Package list: 1 * Quadcopter Toy M9912 1 * 2.4G Trasmitter (Model 2) 1 * 3.7V lipo Battery(build-in) 1 * USB Charger 4 * Spare Propeller 1 * English Manual,douself
WLtoys V911 V911-1 V911-2 3.7V 150mAh Battery 4Pcs With Charger,Size Name:4pcs 150mAh with charger Description: Battery Set with Charger Wires Voltage: 3.7V 150mAh Usage for: V911 V911-1 V911-2 RC Helicopter Package Included: 4 x Battery 1 x Charger 4 x Connect wires,Nollmit
Pack of 12 Spare Missiles for WL-Toys v398 v319 v911,Pack of 12 spare missiles,WLToys
Cheerson CX-10A Mini Headless Mode 2.4G 4CH 6 Axis Gyro UFO Drone RC Quadcopter Helicopter RTF Toy Black,"Colour Name:Black Note: Before you are familiar with the flight vehicle, please don't set it fly, read the instruction carefully. Get familiar with all kinds of direction control and keep repeating until you can play it as your wishes. Features: - 2.4 Ghz - 4 Channels - Each side of quadcopter has high intensity LED light which can give out colorful light. - This lightweight, easy to fly quad comes ready-to-fly straight from the box.It is pefect as s gift for kids. Specifications: Channel: 4 Channels Function: Forward, Backward, Up, Down, Left, Right, Left/Right Sideways Fly, 360 Degree Flips Remote Type: Radio Control Mode: Left Throttle (mode 2) Remote Control Frequency: 2.4GHz Remote Control Range: 20m Flying distance: about 20m Flying Time: About 6 mins Charging Time: Approx. 30-40mins Aircraft Battery: 1 x 3.7V 100mAh Li-Po (included) Remote Controller Battery: 3 x 1.5 V AA Batteries (not included) Suitable Age: 14+ Suitable Situation: Indoor & Outdoor Diameter of blade: 30mm Size: 43 x 43 x 20 mm / 1.69 x 1.69 x 0.79 inch Package Contents: 1 x RC Quadcopter 1 x Transmitter 4 x Spare Blades 1 x USB Charging Cable 1 x User Manual Tips for beginners: 1. Put this mini quad on a level ground when decoding. 2. Keep this quad static on a level ground for around 3 seconds after transmitter and quad matching to each other. 3. If quad fly to one direction in a quick speed,you need to do calibration(see steps on manual) or trim adjusting. 4. If one propeller does not spin well,the problem could be the tight space between propeller and motor. You could try to pull it a little up and blow it with your mouth to see if rotating smoothly as others. 5. Do not charge quad after exhausting all power. Go charging when there is still a little power inside.Otherwise, the battery will be damaged.",Cheerson
TonseeÆ Cheerson CX-10 Wltoys V676 RC Quadcopter Spare Parts Protection Cover (Green),"Colour Name:Green Feature: Brand Name: Cheerson Item Name: Protection Cover Color: Green, White Usage: spare part for Cheerson CX-10 RC Quadcopter Package Content: 1X Protection Cover",TonseeÆ
Thunder Tiger "TT Tomahawk B x Fuel Tank Set" for Remote Controlled Toy Vehicle,Product Description Thunder Tiger - Tomahawk BX Fuel Tank Box Contains TT Tomahawk Bx Fuel Tank Set,Thunder Tiger
SunnytechÆ Low Temperature Stirling Engine Motor Steam Heat Education Model Toy Kits LT001,"Package:SunnytechÆ package, great gift for boy or girl friend, parents, kids,etc Features: speed up to 180-200 RPM Start temperaure difference:20 oC Color:Silver Bottom Gold Flywheel Material :steel and Glass Size:100X100X140mm Weight:250g Warning: 1.ONLY use pencil powder to lubricate this stirling engine if need. 2.Prohibit to add oil to lubricate.Because the oil will mix with dust in the air, and become a oil-dirt, finally make the friction to be even bigger.The stirling engine can't run freely. What is the stirling engine? A Stirling engine is a heat engine that operates by cyclic compression and expansion of air or other gas, the working fluid, at different temperature levels such that there is a net conversion of heat energy to mechanical work.The engine is like a steam engine in that all of the engine's heat flows in and out through the engine wall. How it works? This is traditionally known as an external combustion engine in contrast to an internal combustion engine where the heat input is by combustion of a fuel within the body of the working fluid. Unlike the steam engine's use of water in both its liquid and gaseous phases as the working fluid,the Stirling engine encloses a fixed quantity of permanently gaseous fluid such as air or helium. As in all heat engines, the general cycle consists of compressing cool gas, heating the gas, expanding the hot gas, and finally cooling the gas before repeating the cycle. You can put the stirling motor toy in top of hot water to make the temperature difference. You also can put it in top of ICE to get the termperature difference, Just enjoy the toy!",sunnytechÆ
WLToys V912 Helicopter Replacement Crash Parts Set Main Blades Propellers Balance Bar Connect Buckles Head Cover,Brand Name: WLtoys Modle Number: V912-0001 Product Name: WLtoys RC Helicopter Accessories Bag Spare Parts For: WLtoy V912 RC Helicopter Package: 1 Set,CRW
WLtoys V913 2.4G 4CH Single Blade RC Helicopter LCD Controller,Description: Item Name: WLtoys Large Single Blades RC Helicopter Heli Size :70*12*21CM Functioin: 3D action & side flying Up- Down-Forward- Backward-Turn Right- Turn Left- Left Fly- Right Fly Frequency: 2.4G Channel: 4 Channel Control Distance: About 150m Flying Time: About 8 Minutes Charging Time: About 60 Minutes Transmitter Battery: 4 x AA Battery (Not Included) Helicopter Battery: Rechargable 7.4V 1500mAh (Included) Package Included: 1 x Helicopter 1 x Balance Charger 1 x Manual 1 x Transmitter 2 x Main Blades 1 x Tail Blade 1 x Built-in Battery,ketpriz
BTG SJ R/C 4in1 X4 JST Charger for 3.7V Lipo Battery of MJX X400 Nine Eagle Visitor 3 & 6 UDI 817A U818A Wltoys V929 V949 V959 Blade 120 120SR Traxxas LaTrax Alias Syma X1 S032G °≠,"Compatible with batteries as below Traxxas LaTrax Alias Nine Eagles Galaxy Visitor 3 and Visitor 6 MJX X400 Syma X1, S032G UDI 817A,U818,U818A Wltoys V929 V949 V959 V212 V222 Blade 120 120SR",SJ R/C
OEM 2.4G Electric Receiver Board Spare Part for WLTOYS V911 4CH 2.4GHz RC Helicopter,Specifications: Compatible Model: WLtoys V911 Item size: 3.2 2.8 2.2cm Item weight: 6g Package size: about 4 3 2.5cm Package weight: 7g Package including: 1 2.4G Receiver Board,OEM
Thunder Tiger "3-Blade 45 x 45 Prop" for Remote Controlled Toy Vehicle,Product Description Thunder Tiger - 4.5 x 4.5 3 Blade Prop Box Contains 3-Blade 4.5X4.5 Prop,Thunder Tiger
9.6V Ni-Cd 600mAh Rechargeable Battery Pack 2pin for Radio Controlled Toys - (NOT Compatible for Vaporizr),Compatible with Tamiya models and Rampage truck only! NOT Compatible for Vaporizr!!!!,XStunt
BlueBeach Quadcopter Battery 1 to 5 Charger for (Syma X5 X5C X5C-1 / Hubsan H107 H107L H107C H107D / Wltoys V977 V930 V202 V252 V939 V933 V955 / UDI U816 U816A U830 / JXD 385 388 392 / FY FY310 FY310B / YIZHAN X4 / JJRC 1000A 1000B 5000 / DFD F180),Input DC : 5V Output DC : 4.3V 350mah Compatible With: Syma X5 X5C X5C-1 / Hubsan H107 H107L H107C H107D / Wltoys V977 V930 V202 V252 V939 V933 V955 / UDI U816 U816A U830 / JXD 385 388 392 / FY FY310 FY310B / YIZHAN X4 / JJRC 1000A 1000B 5000 / DFD F180),BlueBeach
Lego 7595 Toy Story Army Men on Patrol,"Product Description A good soldier never leaves a man behind!"" While on patrol, one of the four green Army Men gets injured and falls behind. Only his army buddies with their handy equipment and army jeep can rescue him and complete the mission in time! Manufacturer's Description Go out on patrol with the Army Men! Thereís an important mission in Andyís bedroom ñ time to send in the green Army Men! Hopping along on their removable stands, these brave toy soldiers never leave a man behind. Good thing theyíve brought their Jeep, stretcher and all their equipment with them! Includes 4 minifigures. Includes 4 Army Men minifigures, jeep and stretcher. Soldiers' jeep equipped with spare tire. Jeep measures over 3"" (8cm) long. Award Winner: Oppenheim Toy Portfolio's Gold Seal",Disney
LEGO Toy Story 7590 Woody and Buzz to the Rescue,"Product Description Woody and Buzz are racing to catch up with Andy's moving van! Pull back on their car friend RC and release to make him zoom into action at top speed with the Toy StoryTM heroes aboard. Not fast enough? Grab onto Buzz's rocket and take to the air! Includes Woody, Buzz Lightyear with rocket, and buildable RC with pull-back motor. Manufacturer's Description Woody and Buzz are atop RC racing to Woody and Buzz are racing to catch up with Andy's fast-moving van before it's too late. Pull RC back to watch him speed along with Woody and Buzz clinging on. If that isn't fast enough, clip the rocket pack onto Buzz's back, grab on and take to the air to zoom over traffic. Quick and easy to build, the pull back RC provides endless entertainment as it zooms around with Woody and Buzz on-board. The harder you pull back, the faster RC goes, even zooming along on carpeted floors. The fabulous Woody and Buzz Lightyear minifigures can ride on RC in many different positions and the car itself can be tweaked and modified to the users own design using imagination and spare parts. With a† strong and sturdy design means RC can crash into any obstacles and even flip without breaking, and any pieces that fall off are easily put back in place. The great pull-back motor feature means no fuss with batteries and endless play that can be taken anywhere.",Disney
